s2_token,geometry,confidence_threshold_80%_precision,confidence_threshold_85%_precision,confidence_threshold_90%_precision,building_count_80%_precision,building_count_85%_precision,building_count_90%_precision,building_count
1bd,"POLYGON ((16.53483785734515 -15.88626236166589, 22.61986494804043 -15.32501998539171, 22.61986494804043 -9.8193006387579, 16.53483785734515 -10.18989264617986, 16.53483785734515 -15.88626236166589))",0.685,0.729,0.764,1054900,859515,670349,1383222
0ef,"POLYGON ((-16.53483785734515 10.18989264617986, -10.61965527615513 10.44179817172576, -10.61965527615513 16.26672649011948, -16.53483785734515 15.88626236166589, -16.53483785734515 10.18989264617986))",0.727,0.759,0.792,5171277,4162246,2947674,8328878
b5b,"POLYGON ((38.50065372034543 -48.70131507598031, 45 -45.80546848134384, 39.34749651428972 -42.68268396435615, 33.11134196037203 -44.96817331739243, 38.50065372034543 -48.70131507598031))",0.750,0.750,0.750,57,57,57,900
04f,"POLYGON ((-10.61965527615513 -16.26672649011948, -5.059868846264116 -16.47390220016713, -5.059868846264117 -10.57920733737058, -10.61965527615513 -10.44179817172576, -10.61965527615513 -16.26672649011948))",0.789,0.789,0.789,3508,3508,3508,7510
183,"POLYGON ((34.5085229876684 -4.173022773894666, 39.98123465891889 -3.881312186924027, 39.98123465891889 0, 34.5085229876684 0, 34.5085229876684 -4.173022773894666))",0.691,0.737,0.783,15987554,13414931,9682409,19341600
23f,"POLYGON ((61.326853510565 -20.08096213071963, 67.38013505195958 -21.03751102542181, 67.38013505195958 -15.32501998539171, 61.326853510565 -14.59941342503042, 61.326853510565 -20.08096213071963))",0.668,0.694,0.743,25164,22139,15403,32106
123,"POLYGON ((5.059868846264117 22.54054940194471, 10.61965527615513 22.27057548800819, 10.61965527615513 28.25839533868567, 5.059868846264117 28.57906855098932, 5.059868846264117 22.54054940194471))",0.807,0.832,0.842,44111,21180,13854,494823
0fb,"POLYGON ((-10.61965527615514 4.973642825000524, -5.059868846264116 5.040252729758283, -5.059868846264117 10.57920733737058, -10.61965527615513 10.44179817172576, -10.61965527615514 4.973642825000524))",0.672,0.715,0.761,7516927,6592826,5289077,8715953
193,"POLYGON ((28.67314648943499 -20.08096213071963, 34.5085229876684 -18.9499500044539, 34.5085229876684 -13.74670252512002, 28.67314648943499 -14.59941342503042, 28.67314648943499 -20.08096213071963))",0.724,0.760,0.795,8293305,6468288,4301724,12547214
0e5,"POLYGON ((-10.61965527615513 10.44179817172576, -5.059868846264117 10.57920733737058, -5.059868846264116 16.47390220016713, -10.61965527615513 16.26672649011948, -10.61965527615513 10.44179817172576))",0.720,0.746,0.780,976624,850682,644800,1351055
1ef,"POLYGON ((28.67314648943499 -31.09807140426155, 34.5085229876684 -29.53280370582265, 34.5085229876684 -24.25860976441469, 28.67314648943499 -25.63226655107013, 28.67314648943499 -31.09807140426155))",0.775,0.801,0.828,9492500,7193687,4390925,16722668
10d,"POLYGON ((16.53483785734516 4.851647556935838, 22.61986494804043 4.67244275538945, 22.61986494804043 9.8193006387579, 16.53483785734515 10.18989264617986, 16.53483785734516 4.851647556935838))",0.648,0.691,0.754,648492,576548,436726,719885
